rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w|A60|benoni defense|Main line|
rnbqkb1r/pp1ppppp/8/2pP4/2P1n3/8/PP2PPPP/RNBQKBNR w|A56|Vulture defense|Main line|
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w|A56|benoni defense|Main line|
rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/2N5/PP2PPPP/R1BQKBNR w|A53|Old Indian|Janowski Variation |
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2NBP3/PP3PPP/R1BQK1NR b|A54|Old Indian|Dus-Khotimirsky Variation |
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b|A55|Old Indian|Main line|
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R b|A54|Old Indian|Ukrainian Variation , 4.Nf3|
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w|A54|Old Indian|Ukrainian Variation |
rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/8/PP2PPPP/RNBQKBNR w|A53|Old Indian defense|Alekhine Variation , balogh gambit|
rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PPQ1PPPP/RNB1KBNR b|A51|budapest|Fajarowicz, Steiner Variation |
rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PP2PPPP/RNBQKBNR w|A51|budapest|Fajarowicz Variation |
rnbqkb1r/pppp1ppp/8/4P3/2P2Bn1/8/PP2PPPP/RN1QKBNR b|A52|budapest|Rubinstein Variation |
rnbqkb1r/ppp2ppp/3p4/4P3/2P1P1n1/8/PP3PPP/RNBQKBNR w|A52|budapest|Alekhine Variation , balogh gambit|
rnbqkb1r/pppp1ppp/2n5/8/2P1PP2/8/PP4PP/RNBQKBNR w|A52|budapest|Alekhine, Abonyi Variation |
rnbqkb1r/pppp1ppp/8/4P3/2P1P1n1/8/PP3PPP/RNBQKBNR b|A52|budapest|Alekhine Variation |
rnbqkb1r/pppp1ppp/8/4P3/2P3n1/5N2/PP2PPPP/RNBQKB1R b|A52|budapest|Adler Variation |
rnbqkb1r/pppp1ppp/8/4P3/2P3n1/8/PP2PPPP/RNBQKBNR w|A52|budapest defense|Fajarowicz, Steiner Variation |
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w|A51|budapest defense declined|Fianchetto without c4|
rnbqkb1r/pppp1ppp/4pn2/6B1/2PP4/8/PP2PPPP/RN1QKBNR b|E00|Neo-Indian (Seirawan) attack|Smyslov, Yugoslav Variation |
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2NQ1NP1/PP2PPBP/R1B2RK1 b|E07|Catalan|Closed, Botvinnik Variation |
r2q1rk1/pb1nbppp/2p1pn2/1p1p4/2PP4/1PN2NP1/P1Q1PPBP/R1BR2K1 w|E08|Catalan|Closed, Spassky gambit|
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/1P3NP1/P1Q1PPBP/RNB2RK1 b|E08|Catalan|Closed, Qc2 & b3|
r2q1rk1/3nbppp/bpp1pn2/p2p4/2PP4/1P3NP1/PBQNPPBP/R4RK1 w|E09|Catalan|Closed, Sokolsky Variation |
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/5NP1/PPQNPPBP/R1B2RK1 b|E09|Catalan|Closed, Main line|
r1bq1rk1/p2nbppp/1pp1pn2/3p4/P1PP4/5NP1/1PQ1PPBP/RNBR2K1 b|E08|Catalan|Closed, Zagoryansky Variation |
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 b|E08|Catalan|Closed, 7.Qc2|
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w|E07|Catalan|Closed, 6...Nbd7|
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b|E06|Catalan|Closed, 5.Nf3|
rnbqk2r/ppp1bppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R w|E05|Catalan|Open, Classical line|
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R b|E04|Catalan|Open, 5.Nf3|
rnbqkb1r/ppp2ppp/4pn2/8/Q1pP4/6P1/PP2PPBP/RNB1K1NR b|E02|Catalan|Open, 5.Qa4|
r1bqkb1r/1ppn1ppp/p3pn2/8/3P4/6P1/PPQ1PPBP/RNB1K1NR b|E03|Catalan|Open, Alekhine Variation |
r1bqkb1r/pppn1ppp/4pn2/8/2QP4/6P1/PP2PPBP/RNB1K1NR b|E03|Catalan|Open, 5.Qa4 Nbd7, 6.Qxc4|
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR b|E01|Catalan|Closed|
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b|E00|Catalan Opening|Smyslov, Yugoslav Variation |
rnbqk2r/p2p1ppp/1p2pn2/2p5/2PP4/P1P1P3/5PPP/R1BQKBNR w|E26|Nimzo-Indian|Saemisch, O'Kelly Variation |
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/P1P1P3/5PPP/R1BQKBNR b|E26|Nimzo-Indian|Saemisch Variation |
rnbqk2r/pp4pp/4p3/2Pn1p2/8/P1P2P2/4P1PP/R1BQKBNR w|E25|Nimzo-Indian|Saemisch, Romanovsky Variation |
rnbqk2r/pp3ppp/4p3/2Pn4/8/P1P2P2/4P1PP/R1BQKBNR b|E25|Nimzo-Indian|Saemisch, Keres Variation |
rnbqk2r/pp3ppp/4pn2/2pP4/3P4/P1P2P2/4P1PP/R1BQKBNR b|E25|Nimzo-Indian|Saemisch Variation |
rnbq1rk1/pp3ppp/4p3/2pn4/3P4/P1P1PP2/6PP/R1BQKBNR w|E24|Nimzo-Indian|Saemisch, Botvinnik Variation |
r1bqnrk1/p2p1ppp/1pn1p3/2p5/2PPP3/P1PB4/4NPPP/R1BQK2R w|E29|Nimzo-Indian|Saemisch, Capablanca Variation |
r1bq1rk1/pp1p1ppp/2n1pn2/2p5/2PP4/P1PBP3/5PPP/R1BQK1NR w|E29|Nimzo-Indian|Saemisch, Main line|
rnbq1rk1/pppp1ppp/4pn2/8/2PP4/P1P1P3/5PPP/R1BQKBNR b|E28|Nimzo-Indian|Saemisch Variation |
rnbq1rk1/pppp1ppp/4pn2/8/2PP4/P1P5/4PPPP/R1BQKBNR w|E27|Nimzo-Indian|Saemisch Variation |
rnbqk2r/pppp1ppp/4pn2/8/2PP4/P1P5/4PPPP/R1BQKBNR b|E24|Nimzo-Indian|Saemisch Variation |
rnbqk2r/p2p1pp1/4pn1p/1ppP4/1bP4B/2N5/PP2PPPP/R2QKBNR w|E30|Nimzo-Indian|Leningrad, ...b5 gambit|
rnbqk2r/pp3pp1/3ppn1p/2pP4/1bP4B/2N5/PP2PPPP/R2QKBNR w|E31|Nimzo-Indian|Leningrad, Main line|
rnbqk2r/pppp1ppp/4pn2/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR b|E30|Nimzo-Indian|Leningrad Variation |
rn1qk2r/p1pp1ppp/bp2pn2/8/1bPP4/2N1P3/PP2NPPP/R1BQKB1R w|E45|Nimzo-Indian|4.e3, bronstein (byrne) Variation |
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/2N1P3/PP2NPPP/R1BQKB1R b|E44|Nimzo-Indian|Fischer Variation , 5.Ne2|
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR w|E43|Nimzo-Indian|Fischer Variation |
r1bqk2r/pp3ppp/2nppn2/2p5/2PP4/2PBPN2/P4PPP/R1BQK2R w|E41|Nimzo-Indian|e3, Huebner Variation |
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/2N1P3/PP2NPPP/R1BQKB1R b|E42|Nimzo-Indian|4.e3 c5, 5.Ne2 (Rubinstein)|
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/2N1P3/PP3PPP/R1BQKBNR w|E41|Nimzo-Indian|4.e3 c5|
r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR w|E40|Nimzo-Indian|4.e3, Taimanov Variation |
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/P1PBP3/5PPP/R1BQK1NR b|E49|Nimzo-Indian|4.e3, Botvinnik system|
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2NBP3/PP3PPP/R1BQK1NR w|E48|Nimzo-Indian|4.e3 O-O, 5.bd3 d5|
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2NBP3/PP3PPP/R1BQK1NR b|E47|Nimzo-Indian|4.e3 O-O, 5.bd3|
rnbq1rk1/ppp2ppp/3bpn2/3p4/2PP4/P1N1P3/1P2NPPP/R1BQKB1R w|E46|Nimzo-Indian|Simagin Variation |
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP2NPPP/R1BQKB1R b|E46|Nimzo-Indian|Reshevsky Variation |
rnbq1rk1/p1p2ppp/1p2pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R w|E52|Nimzo-Indian|4.e3, Main line with ...b6|
rnbq1rk1/p4ppp/1p2pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w|E53|Nimzo-Indian|4.e3, Keres Variation |
r1bq1rk1/pp1n1ppp/4pn2/2p5/1bBP4/2N1PN2/PP3PPP/R1BQ1RK1 w|E55|Nimzo-Indian|4.e3, Gligoric system, bronstein Variation |
rnb2rk1/pp2qppp/4pn2/2p5/1bBP4/2N1PN2/PP3PPP/R1BQ1RK1 w|E54|Nimzo-Indian|4.e3, Gligoric system, Smyslov Variation |
rnbq1rk1/pp3ppp/4pn2/2p5/1bBP4/2N1PN2/PP3PPP/R1BQ1RK1 b|E54|Nimzo-Indian|4.e3, Gligoric system with 7...dc|
r1bq1rk1/pp1n1ppp/4pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w|E53|Nimzo-Indian|4.e3, Gligoric system with 7...Nbd7|
r1bq1rk1/pp3ppp/2n1pn2/2p5/2BP4/P1P1PN2/5PPP/R1BQ1RK1 b|E59|Nimzo-Indian|4.e3, Main line|
r1bq1rk1/pp3ppp/2n1pn2/2pp4/2PP4/P1PBPN2/5PPP/R1BQ1RK1 b|E58|Nimzo-Indian|4.e3, Main line with 8...bxc3|
r1bq1rk1/pp3ppp/2n1pn2/8/1bBp4/P1N1PN2/1P3PPP/R1BQ1RK1 w|E57|Nimzo-Indian|4.e3, Main line with 8...dc and 9...cd|
r1bq1rk1/pp3ppp/2n1pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w|E56|Nimzo-Indian|4.e3, Main line with 7...Nc6|
rnbq1rk1/pp3ppp/4pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQK2R w|E53|Nimzo-Indian|4.e3, Main line with ...c5|
r1bq1rk1/ppp2ppp/2n1pn2/8/1bpP4/2NBPN2/PP3PPP/R1BQ1RK1 w|E51|Nimzo-Indian|4.e3, Ragozin Variation |
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2N1PN2/PP3PPP/R1BQKB1R w|E51|Nimzo-Indian|4.e3 e8g8, 5.Nf3 d7d5|
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1PN2/PP3PPP/R1BQKB1R b|E50|Nimzo-Indian|4.e3 e8g8, 5.Nf3, without ...d5|
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR w|E46|Nimzo-Indian|4.e3 O-O|
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR b|E40|Nimzo-Indian|4.e3|
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N2P2/PP2P1PP/R1BQKBNR b|E20|Nimzo-Indian|Kmoch Variation |
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N3P1/PP2PP1P/R1BQKBNR b|E20|Nimzo-Indian|Romanishin-Kasparov (Steiner) system|
rnbqk2r/pp1p1ppp/4p3/2pP4/1bP1n3/2N2N2/PP2PPPP/R1BQKB1R w|E21|Nimzo-Indian|Three knights, Euwe Variation |
rnbqk2r/pp1p1ppp/4pn2/2pP4/1bP5/2N2N2/PP2PPPP/R1BQKB1R b|E21|Nimzo-Indian|Three knights, Korchnoi Variation |
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N2N2/PP2PPPP/R1BQKB1R b|E21|Nimzo-Indian|Three knights Variation |
r1bqk2r/pp1p2pp/2n1p3/2n2p2/1bP5/2N2NP1/PPQBPP1P/R3KB1R b|E23|Nimzo-Indian|Spielmann, Staahlberg Variation |
r1bqk2r/pp1p1ppp/2n1p3/2n5/1bP5/1QN2N2/PP1BPPPP/R3KB1R w|E23|Nimzo-Indian|Spielmann, San Remo Variation |
r1bqk2r/pp1p1ppp/2n1p3/2P5/1bP5/1QN2N2/PP1nPPPP/R3KB1R w|E23|Nimzo-Indian|Spielmann, Karlsbad Variation |
r1bqk2r/pp1p1ppp/2n1pn2/2P5/1bP5/1QN5/PP2PPPP/R1B1KBNR w|E23|Nimzo-Indian|Spielmann, 4...c5, 5.dc Nc6|
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/1QN5/PP2PPPP/R1B1KBNR b|E22|Nimzo-Indian|Spielmann Variation |
rnbq1rk1/pp1p1ppp/4pn2/2P5/1bP5/2N5/PPQ1PPPP/R1B1KBNR w|E39|Nimzo-Indian|Classical, Pirc Variation |
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/2N5/PPQ1PPPP/R1B1KBNR w|E38|Nimzo-Indian|Classical, 4...c5|
r1bqk2r/ppp2ppp/2n1pn2/3p4/2PP4/P1Q5/1P2PPPP/R1B1KBNR w|E36|Nimzo-Indian|Classical, Botvinnik Variation |
r1bqk2r/ppp2ppp/2n5/3pp3/2PPn3/P3P3/1PQ2PPP/R1B1KBNR w|E37|Nimzo-Indian|Classical, San Remo Variation |
rnbqk2r/ppp2ppp/4p3/3p4/2PPn3/P7/1PQ1PPPP/R1B1KBNR b|E37|Nimzo-Indian|Classical, Noa Variation , Main line, 7.Qc2|
rnbqk2r/ppp2ppp/4p3/3p4/2PPn3/P1Q5/1P2PPPP/R1B1KBNR w|E36|Nimzo-Indian|Classical, Noa Variation , Main line|
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR b|E36|Nimzo-Indian|Classical, Noa Variation , 5.a3|
rnbqk2r/ppp2ppp/5n2/3p4/1b1P4/2N5/PPQ1PPPP/R1B1KBNR w|E35|Nimzo-Indian|Classical, Noa Variation , 5.cd ed|
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N5/PPQ1PPPP/R1B1KBNR w|E34|Nimzo-Indian|Classical, Noa Variation |
r1bqk2r/ppp2ppp/2nppn2/8/1bPP4/2N2N2/PPQ1PPPP/R1B1KB1R w|E33|Nimzo-Indian|Classical, Milner-barry (Zurich) Variation |
r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR w|E33|Nimzo-Indian|Classical, 4...Nc6|
rnbq1rk1/p1pp1ppp/4pn2/1p6/2PP4/P1Q5/1P2PPPP/R1B1KBNR w|E32|Nimzo-Indian|Classical, Adorjan gambit|
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR b|E32|Nimzo-Indian|Classical Variation |
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2NQ4/PP2PPPP/R1B1KBNR b|E20|Nimzo-Indian|Mikenas attack|
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w|E20|Nimzo-Indian defense|Old Main line, 9.Qxc3|
rnbqkb1r/1ppp1ppp/p3pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w|E10|Dzindzikhashvili defense|Closed, Sokolsky Variation |
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/P4N2/1P2PPPP/RNBQKB1R b|E12|Queen's Indian|Petrosian system|
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP1B2/5N2/PP2PPPP/RN1QKB1R b|E12|Queen's Indian|Miles Variation |
rn1q1rk1/pb1pbppp/1p2pn2/8/2PN4/1P1BP3/PB3PPP/RN1Q1RK1 b|E14|Queen's Indian|Averbakh Variation |
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R b|E14|Queen's Indian|4.e3|
rn1qkb1r/p1pp1ppp/bp2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w|E15|Queen's Indian|Nimzovich Variation (exaggerated Fianchetto)|
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/5NP1/PP2PPBP/RNBQK2R w|E16|Queen's Indian|Capablanca Variation |
rn1qk2r/1bpp1ppp/1p2pn2/p7/1bPP4/5NP1/PP1BPPBP/RN1QK2R w|E16|Queen's Indian|Yates Variation |
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/5NP1/PP1BPPBP/RN1QK2R w|E16|Queen's Indian|Riumin Variation |
rn1qk2r/pbppbppp/1p2p3/8/2PPn3/2N2NP1/PP1BPPBP/R2QK2R b|E17|Queen's Indian|Opovcensky Variation |
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b|E17|Queen's Indian|Anti-Queen's Indian system|
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b|E17|Queen's Indian|Euwe Variation |
rn1q1rk1/pbppbppp/1p2p3/8/2PP4/2Q2NP1/PP2PPBP/R1B2RK1 b|E19|Queen's Indian|Old Main line, 9.Qxc3|
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b|E18|Queen's Indian|Old Main line, 7.Nc3|
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b|E17|Queen's Indian|Old Main line, 6.O-O|
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQK2R w|E17|Queen's Indian|5.Bg2 be7|
rn1qkb1r/pb1p1ppp/1p3n2/2pp2N1/2P5/6P1/PP2PPBP/RNBQK2R b|E15|Queen's Indian|buerger Variation |
rn1qkb1r/pb1p1ppp/1p3n2/2pp4/2P4N/6P1/PP2PPBP/RNBQK2R b|E15|Queen's Indian|Rubinstein Variation |
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w|E15|Queen's Indian|4.g3 Bb7|
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b|E15|Queen's Indian|4.g3|
rn1qk2r/pbpp1pp1/1p2pn1p/8/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w|E13|Queen's Indian|4.Nc3, Main line|
rn1qkb1r/pbpp1p2/1p2p2p/6pn/2PP4/2N2NB1/PP2PPPP/R2QKB1R w|E12|Queen's Indian|4.Nc3, Botvinnik Variation |
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b|E12|Queen's Indian|4.Nc3|
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w|E12|Queen's Indian defense|Closed, Sokolsky Variation |
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w|E11|bogo-Indian defense|Closed, Sokolsky Variation |
rn1q1rk1/pbpp1ppp/1p2p3/6N1/2PP4/2n3P1/PPQ1PPBP/R3K2R b|E11|bogo-Indian defense, Monticelli trap|Closed, Sokolsky Variation |
rnb1k2r/ppppqppp/4pn2/8/1bPP4/5N2/PP1BPPPP/RN1QKB1R w|E11|bogo-Indian defense, Nimzovich Variation |Closed, Sokolsky Variation |
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R b|E11|bogo-Indian defense, Gruenfeld Variation |Closed, Sokolsky Variation |
rnbqkb1r/p2p1pp1/5n1p/1ppP2B1/8/5N2/PP2PPPP/RN1QKB1R w|E10|blumenfeld counter-gambit, Spielmann Variation |Closed, Sokolsky Variation |
rnbqkb1r/p2p1ppp/4pn2/1ppP2B1/2P5/5N2/PP2PPPP/RN1QKB1R b|E10|blumenfeld counter-gambit, Dus-Chotimursky Variation |Closed, Sokolsky Variation |
rnbqkb1r/p5pp/4pn2/1Ppp4/8/5N2/PP2PPPP/RNBQKB1R w|E10|blumenfeld counter-gambit accepted|Closed, Sokolsky Variation |
rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w|E10|blumenfeld counter-gambit|Closed, Sokolsky Variation |
rnbqkb1r/pppp1ppp/4p3/8/2PPn3/5N2/PP2PPPP/RNBQKB1R w|E10|Doery defense|Closed, Sokolsky Variation |
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b|E10|Queen's pawn game|Closed, Sokolsky Variation |
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w|E00|Queen's pawn game|Smyslov, Yugoslav Variation |
rnbqkb1r/p1pppp1p/5np1/1p1P4/2P5/8/PP2PPPP/RNBQKBNR w|E60|King's Indian|Danube gambit|
rnbqkb1r/pppppp1p/5np1/3P4/2P5/8/PP2PPPP/RNBQKBNR b|E60|King's Indian|Anti-Gruenfeld|
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5P2/PP2P1PP/RNBQKBNR w|D70|Neo-Gruenfeld defense|Orthodox defense, Classical, 13.de|
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR w|E60|King's Indian|3.g3, counterthrust Variation |
rnbqk2r/ppp1ppbp/1n4p1/8/3PP3/6P1/PP2NPBP/RNBQK2R b|D72|Neo-Gruenfeld, 5.cd, Main line|Orthodox defense, Classical, 13.de|
rnbqk2r/ppp1ppbp/6p1/3n4/3P4/6P1/PP2PPBP/RNBQK1NR w|D71|Neo-Gruenfeld, 5.cd|Orthodox defense, Classical, 13.de|
rnbq1rk1/pp2ppbp/6p1/2Pn4/8/5NP1/PP2PPBP/RNBQ1RK1 b|D75|Neo-Gruenfeld, 6.cd Nxd5, 7.O-O c5, 8.dc|Orthodox defense, Classical, 13.de|
rnbq1rk1/pp2ppbp/6p1/2pn4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b|D75|Neo-Gruenfeld, 6.cd Nxd5, 7.O-O c5, 8.Nc3|Orthodox defense, Classical, 13.de|
rnbq1rk1/ppp1ppbp/1n4p1/8/3P4/5NP1/PP2PPBP/RNBQ1RK1 w|D76|Neo-Gruenfeld, 6.cd Nxd5, 7.O-O Nb6|Orthodox defense, Classical, 13.de|
rnbq1rk1/ppp1ppbp/6p1/3n4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b|D74|Neo-Gruenfeld, 6.cd Nxd5, 7.O-O|Orthodox defense, Classical, 13.de|
rnbq1rk1/pp2ppbp/5np1/3p4/3P4/5NP1/PP2PPBP/RNBQ1RK1 w|D79|Neo-Gruenfeld, 6.O-O, Main line|Orthodox defense, Classical, 13.de|
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w|D78|Neo-Gruenfeld, 6.O-O c6|Orthodox defense, Classical, 13.de|
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b|D77|Neo-Gruenfeld, 6.O-O|Orthodox defense, Classical, 13.de|
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b|D73|Neo-Gruenfeld, 5.Nf3|Orthodox defense, Classical, 13.de|
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR w|D70|Neo-Gruenfeld (Kemeri) defense|Orthodox defense, Classical, 13.de|
rnbqkb1r/pppppp1p/5np1/8/2PP4/6P1/PP2PP1P/RNBQKBNR b|E60|King's Indian|3.g3|
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N1B3/PP2BPPP/R2QK1NR b|E73|King's Indian|Semi-Averbakh system|
rnbq1rk1/pp3pbp/3ppnp1/2pP2B1/2P1P3/2N5/PP2BPPP/R2QK1NR w|E75|King's Indian|Averbakh, Main line|
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/2PPP3/2N5/PP2BPPP/R2QK1NR w|E74|King's Indian|Averbakh, 6...c5|
rnbq1rk1/ppp1ppbp/3p1np1/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR b|E73|King's Indian|Averbakh system|
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR b|E73|King's Indian|5.be2|
rnbqk2r/ppp1ppbp/3p1np1/6B1/2PPP3/2N5/PP3PPP/R2QKBNR b|E70|King's Indian|Accelerated Averbakh system|
rnbq1rk1/p1p1ppbp/1p1p1np1/8/2PPP3/2N1BP2/PP4PP/R2QKBNR w|E82|King's Indian|Saemisch, double Fianchetto Variation |
rnbq1rk1/1p2ppbp/p1pp1np1/8/2PPP3/2NBBP2/PP4PP/R2QK1NR w|E81|King's Indian|Saemisch, byrne Variation |
rnbq1rk1/pp3pbp/3p1np1/3pp3/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w|E89|King's Indian|Saemisch, Orthodox Main line|
rnbq1rk1/pp3pbp/2pp1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R2QKBNR w|E88|King's Indian|Saemisch, Orthodox, 7.d5 c6|
rnb2rk1/ppp2pbp/3p2p1/3Pp3/2n1P2Q/2N2P2/PP2K2P/R5NR w|E87|King's Indian|Saemisch, Orthodox, bronstein Variation |
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R2QKBNR b|E87|King's Indian|Saemisch, Orthodox, 7.d5|
rnbq1rk1/pp3pbp/2pp1np1/4p3/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w|E86|King's Indian|Saemisch, Orthodox, 7.Nge2 c6|
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N1BP2/PP4PP/R2QKBNR w|E85|King's Indian|Saemisch, Orthodox Variation |
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w|E84|King's Indian|Saemisch, Panno Main line|
r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w|E83|King's Indian|Saemisch, Panno formation|
1rbq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w|E83|King's Indian|Saemisch, Ruban Variation |
